Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2010-12-07 00:00:00+11:00,7.062447547912598,7.062447547912598,7.062447547912598,7.062447547912598,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-08 00:00:00+11:00,7.0221662521362305,7.0221662521362305,7.0221662521362305,7.0221662521362305,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-09 00:00:00+11:00,7.059820380115134,7.069233689403908,7.059820380115134,7.0645270347595215,7773,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-10 00:00:00+11:00,7.092768564093813,7.1021818766994125,7.078649044036865,7.078649044036865,3675,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-13 00:00:00+11:00,7.078649044036865,7.078649044036865,7.078649044036865,7.078649044036865,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-14 00:00:00+11:00,7.078649044036865,7.078649044036865,7.078649044036865,7.078649044036865,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-15 00:00:00+11:00,7.0880610320450765,7.092767238616943,7.0880610320450765,7.092767238616943,500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-16 00:00:00+11:00,7.092767238616943,7.092767238616943,7.092767238616943,7.092767238616943,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-17 00:00:00+11:00,7.1257123947143555,7.1257123947143555,7.1257123947143555,7.1257123947143555,6500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-20 00:00:00+11:00,7.125714061440332,7.125714061440332,7.092767919167889,7.097474575042725,5220,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-21 00:00:00+11:00,7.106886863708496,7.106886863708496,7.106886863708496,7.106886863708496,3300,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-22 00:00:00+11:00,7.097473990724687,7.097473990724687,7.083354473114014,7.083354473114014,2165,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-23 00:00:00+11:00,7.092767238616943,7.092767238616943,7.092767238616943,7.092767238616943,265,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-24 00:00:00+11:00,7.106886863708496,7.106886863708496,7.106886863708496,7.106886863708496,1800,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-29 00:00:00+11:00,7.102180646212036,7.102180646212036,7.083354473114014,7.083354473114014,17500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-30 00:00:00+11:00,7.135126794528176,7.139833450317383,7.135126794528176,7.139833450317383,2262,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2010-12-31 00:00:00+11:00,7.1304203750636646,7.1304203750636646,7.111594200134277,7.111594200134277,2186,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-04 00:00:00+11:00,7.111593411458507,7.11630006688174,7.092767238616943,7.092767238616943,21035,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-05 00:00:00+11:00,7.092767238616943,7.092767238616943,7.092767238616943,7.092767238616943,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-06 00:00:00+11:00,7.031582286695659,7.0409955978393555,7.031582286695659,7.0409955978393555,1367,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-07 00:00:00+11:00,7.0409955978393555,7.0409955978393555,7.0409955978393555,7.0409955978393555,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-10 00:00:00+11:00,7.0409955978393555,7.0409955978393555,7.0409955978393555,7.0409955978393555,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-11 00:00:00+11:00,7.073940753936768,7.073940753936768,7.073940753936768,7.073940753936768,3320,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-12 00:00:00+11:00,7.073940753936768,7.073940753936768,7.073940753936768,7.073940753936768,1330,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-13 00:00:00+11:00,7.073940753936768,7.073940753936768,7.073940753936768,7.073940753936768,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-14 00:00:00+11:00,7.177484512329102,7.177484512329102,7.177484512329102,7.177484512329102,250,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-17 00:00:00+11:00,7.177484512329102,7.177484512329102,7.177484512329102,7.177484512329102,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-18 00:00:00+11:00,7.177484512329102,7.177484512329102,7.177484512329102,7.177484512329102,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-19 00:00:00+11:00,7.191602482341126,7.219841957092285,7.191602482341126,7.219841957092285,24167,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-20 00:00:00+11:00,7.215137004852295,7.215137004852295,7.215137004852295,7.215137004852295,940,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-21 00:00:00+11:00,7.172777857383585,7.182191167274618,7.172777857383585,7.177484512329102,7525,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-24 00:00:00+11:00,7.16336727142334,7.16336727142334,7.16336727142334,7.16336727142334,2500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-25 00:00:00+11:00,7.196311201313558,7.210430718315234,7.182191684311882,7.2010178565979,122900,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-27 00:00:00+11:00,7.12571102960731,7.135123888500609,7.111591067990535,7.116297721862793,85874,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-28 00:00:00+11:00,7.130419269971733,7.130419269971733,7.069234547572364,7.073940753936768,8426,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-01-31 00:00:00+11:00,7.0362857636218985,7.0362857636218985,7.0221662521362305,7.0221662521362305,10000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-01 00:00:00+11:00,7.0457022534112035,7.0457022534112035,7.0409955978393555,7.0409955978393555,12500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-02 00:00:00+11:00,7.092768564093813,7.097475220396613,7.078649044036865,7.078649044036865,11800,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-03 00:00:00+11:00,7.073940753936768,7.073940753936768,7.069234547572364,7.073940753936768,12967,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
